id,data
1248,40
3357,40
1917,40
1923,40
1499,40
3509,40
1160,40
3429,40
2857,40
1615,40
3279,40
3062,40
3421,40
2029,40
3403,40
1545,40
3849,39
1356,39
2354,39
3698,39
1144,39
3607,39
3210,39
1355,39
3040,39
2277,39
2016,39
3177,39
2751,39
2364,39
1548,39
1419,39
1662,39
1325,39
3599,39
2930,39
3657,39
2804,38
3743,38
2758,38
1351,38
1334,38
1683,38
2387,38
2885,38
3053,38
3888,38
2904,38
2980,38
1346,37
2577,37
2553,37
3626,37
2324,37
2883,37
1116,37
1930,37
1630,37
1622,37
1486,37
3512,37
3851,37
2008,37
3867,37
3603,36
2788,36
2451,36
2180,36
1440,36
1315,36
3167,36
2979,36
1751,36
3845,36
2481,36
2234,36
3531,35
1900,35
1994,35
1412,35
2737,35
2231,35
1338,35
3840,35
1330,35
1618,35
3959,35
3913,35
3119,34
1196,34
1612,34
3315,34
1894,34
3233,34
2337,34
1171,34
3786,34
1879,34
2745,34
3631,34
1778,34
3123,34
1800,34
2718,33
1276,33
3573,33
3029,33
3970,33
1294,33
3475,33
3931,33
2388,33
1479,33
1640,33
2213,33
3719,33
3679,33
2933,33
2198,33
1651,33
3724,33
3214,33
2678,32
1389,32
2405,32
1625,32
1363,32
3225,32
1157,32
1450,32
3975,32
2000,32
1678,32
2708,32
3755,32
2113,32
3424,32
1115,32
3905,32
3190,32
3713,32
2131,31
2619,31
2279,31
1197,31
3933,31
2095,31
2576,31
3927,31
3710,31
3885,31
2249,31
3954,31
3328,31
1711,31
1709,31
1868,31
1272,31
1303,30
1481,30
1379,30
2044,30
3295,30
1036,30
2533,30
1203,30
3461,30
3504,30
2742,30
1380,29
2109,29
3583,29
1984,29
2074,29
2539,29
2528,29
3294,29
2507,29
3623,29
3528,29
2444,29
2863,29
3342,29
3434,29
3544,28
3948,28
3399,28
3194,28
1591,28
1028,28
2341,28
1771,28
1444,28
2624,28
3367,28
3808,28
1067,28
2181,28
2868,28
2689,28
3816,28
2645,28
3747,28
3591,27
2727,27
2062,27
1297,27
1806,27
1426,27
1046,27
3462,27
3020,27
3523,27
3960,27
1757,27
2361,27
1086,26
3452,26
1863,26
3986,26
3882,26
2880,26
2726,26
1878,26
2313,26
2402,26
1425,26
1223,26
3387,25
2749,25
2805,25
3604,25
2822,25
2340,25
3436,25
1089,25
1182,25
1988,25
1934,25
2381,25
2812,24
3308,24
1891,24
2368,24
2607,24
3105,24
2978,24
2973,24
3519,24
1430,24
2931,24
2176,24
2781,24
3602,24
3397,23
3696,23
1109,23
2185,23
2739,23
3856,23
2855,23
2156,23
3800,23
2099,23
2760,22
3689,22
2442,22
1647,22
3250,22
3268,22
1669,22
1000,22
3200,22
1959,22
2177,22
3541,22
1985,22
3497,22
2582,21
2799,21
1904,21
1642,21
3688,21
3574,21
2265,21
1789,21
3140,21
1585,21
3482,20
1745,20
2060,20
2989,20
1843,20
2968,20
3080,20
3527,20
2832,20
1698,20
3261,20
1216,20
2390,20
3758,20
2124,20
3971,20
3667,15
1518,15
2547,15
1833,15
1521,15
1834,15
1835,15
3044,15
1837,15
3044,15
2282,15
2569,15
1117,15
3441,15
2272,15
2300,15
3085,15
2544,15
2579,15
1085,15
3400,15
1794,15
1796,15
2317,15
1543,15
3108,15
2534,15
3892,15
3409,15
2538,15
1808,15
1811,15
1813,15
2302,15
3450,15
3022,15
1083,15
3853,15
3488,15
1884,15
2592,15
3844,15
2248,15
2600,15
3505,15
2988,15
1150,15
1151,15
3510,15
1458,15
2610,15
3834,15
1161,15
1882,15
1478,15
3454,15
3855,15
3021,15
2266,15
3865,15
3862,15
3859,15
3019,15
3463,15
1861,15
1867,15
3012,15
2581,15
3474,15
2258,15
1133,15
2257,15
3908,15
1555,15
2513,15
3980,15
1026,15
3230,15
3301,15
3215,15
2367,15
3304,15
2413,15
2470,15
3213,15
1034,15
2357,15
2486,15
2488,15
1049,15
1719,15
1694,15
1016,15
3912,15
3293,15
3259,15
2432,15
3255,15
3274,15
1007,15
2400,15
1009,15
1682,15
1652,15
2398,15
3287,15
2440,15
3288,15
2393,15
3235,15
2490,15
1613,15
3943,15
2348,15
3924,15
1579,15
3355,15
1759,15
3364,15
1762,15
1573,15
3921,15
3155,15
1569,15
3382,15
2326,15
2511,15
3394,15
2971,15
2333,15
1069,15
